userID,itemID,rating,itemName,category
1882,6,3,Egg & cheese wrap,EggFood
1966,6,1,Egg & cheese wrap,EggFood
1569,6,3,Egg & cheese wrap,EggFood
396,6,2,Egg & cheese wrap,EggFood
591,6,1,Egg & cheese wrap,EggFood
1994,6,1,Egg & cheese wrap,EggFood
1854,6,2,Egg & cheese wrap,EggFood
875,6,1,Egg & cheese wrap,EggFood
350,6,4,Egg & cheese wrap,EggFood
1585,6,3,Egg & cheese wrap,EggFood
173,6,2,Egg & cheese wrap,EggFood
850,6,4,Egg & cheese wrap,EggFood
1933,6,1,Egg & cheese wrap,EggFood
1111,6,4,Egg & cheese wrap,EggFood
89,6,3,Egg & cheese wrap,EggFood
1588,6,4,Egg & cheese wrap,EggFood
1213,6,3,Egg & cheese wrap,EggFood
1302,6,2,Egg & cheese wrap,EggFood
1647,6,3,Egg & cheese wrap,EggFood
460,6,4,Egg & cheese wrap,EggFood
1239,6,1,Egg & cheese wrap,EggFood
785,6,4,Egg & cheese wrap,EggFood
1014,6,3,Egg & cheese wrap,EggFood
77,6,1,Egg & cheese wrap,EggFood
312,6,3,Egg & cheese wrap,EggFood
453,6,3,Egg & cheese wrap,EggFood
1920,6,1,Egg & cheese wrap,EggFood
1877,6,3,Egg & cheese wrap,EggFood
855,6,2,Egg & cheese wrap,EggFood
1259,6,2,Egg & cheese wrap,EggFood
1097,6,3,Egg & cheese wrap,EggFood
1607,6,4,Egg & cheese wrap,EggFood
551,6,4,Egg & cheese wrap,EggFood
1050,6,2,Egg & cheese wrap,EggFood
966,6,4,Egg & cheese wrap,EggFood
1938,6,2,Egg & cheese wrap,EggFood
1232,6,2,Egg & cheese wrap,EggFood
175,6,4,Egg & cheese wrap,EggFood
938,6,1,Egg & cheese wrap,EggFood
1229,6,4,Egg & cheese wrap,EggFood
666,6,2,Egg & cheese wrap,EggFood
1656,6,2,Egg & cheese wrap,EggFood
1772,6,4,Egg & cheese wrap,EggFood
812,6,4,Egg & cheese wrap,EggFood
1336,6,2,Egg & cheese wrap,EggFood
985,6,1,Egg & cheese wrap,EggFood
987,6,3,Egg & cheese wrap,EggFood
921,6,2,Egg & cheese wrap,EggFood
1858,6,4,Egg & cheese wrap,EggFood
1088,6,3,Egg & cheese wrap,EggFood
1119,6,1,Egg & cheese wrap,EggFood
960,6,3,Egg & cheese wrap,EggFood
1648,6,2,Egg & cheese wrap,EggFood
1847,6,4,Egg & cheese wrap,EggFood
500,6,4,Egg & cheese wrap,EggFood
812,6,1,Egg & cheese wrap,EggFood
1825,6,2,Egg & cheese wrap,EggFood
471,6,1,Egg & cheese wrap,EggFood
146,6,4,Egg & cheese wrap,EggFood
192,6,2,Egg & cheese wrap,EggFood
573,6,3,Egg & cheese wrap,EggFood
146,6,1,Egg & cheese wrap,EggFood
1703,6,1,Egg & cheese wrap,EggFood
115,6,3,Egg & cheese wrap,EggFood
1784,6,3,Egg & cheese wrap,EggFood
186,6,3,Egg & cheese wrap,EggFood
617,6,4,Egg & cheese wrap,EggFood
155,6,3,Egg & cheese wrap,EggFood
1193,6,1,Egg & cheese wrap,EggFood
711,6,4,Egg & cheese wrap,EggFood
1046,6,3,Egg & cheese wrap,EggFood
156,6,2,Egg & cheese wrap,EggFood
509,6,3,Egg & cheese wrap,EggFood
447,6,4,Egg & cheese wrap,EggFood
1896,6,1,Egg & cheese wrap,EggFood
86,6,2,Egg & cheese wrap,EggFood
1677,6,4,Egg & cheese wrap,EggFood
876,6,3,Egg & cheese wrap,EggFood
970,6,3,Egg & cheese wrap,EggFood
1910,6,2,Egg & cheese wrap,EggFood
1005,6,4,Egg & cheese wrap,EggFood
1722,6,2,Egg & cheese wrap,EggFood
1665,6,2,Egg & cheese wrap,EggFood
1857,6,3,Egg & cheese wrap,EggFood
1340,6,3,Egg & cheese wrap,EggFood
1510,6,3,Egg & cheese wrap,EggFood
401,6,1,Egg & cheese wrap,EggFood
1679,6,3,Egg & cheese wrap,EggFood
469,6,2,Egg & cheese wrap,EggFood
1747,6,4,Egg & cheese wrap,EggFood
1998,6,4,Egg & cheese wrap,EggFood
435,6,1,Egg & cheese wrap,EggFood
834,6,4,Egg & cheese wrap,EggFood
639,6,2,Egg & cheese wrap,EggFood
213,6,4,Egg & cheese wrap,EggFood
1266,6,1,Egg & cheese wrap,EggFood
524,6,3,Egg & cheese wrap,EggFood
635,6,2,Egg & cheese wrap,EggFood
716,6,4,Egg & cheese wrap,EggFood
1885,6,4,Egg & cheese wrap,EggFood
1620,6,2,Egg & cheese wrap,EggFood
1755,6,2,Egg & cheese wrap,EggFood
1950,6,2,Egg & cheese wrap,EggFood
1348,6,1,Egg & cheese wrap,EggFood
1298,6,2,Egg & cheese wrap,EggFood
1934,6,4,Egg & cheese wrap,EggFood
760,6,4,Egg & cheese wrap,EggFood
828,6,4,Egg & cheese wrap,EggFood
1808,6,3,Egg & cheese wrap,EggFood
591,6,2,Egg & cheese wrap,EggFood
139,6,1,Egg & cheese wrap,EggFood
303,6,3,Egg & cheese wrap,EggFood
1678,6,4,Egg & cheese wrap,EggFood
1866,6,2,Egg & cheese wrap,EggFood
1912,6,4,Egg & cheese wrap,EggFood
1783,6,4,Egg & cheese wrap,EggFood
1195,6,2,Egg & cheese wrap,EggFood
713,6,2,Egg & cheese wrap,EggFood
745,6,3,Egg & cheese wrap,EggFood
1594,6,4,Egg & cheese wrap,EggFood
578,6,4,Egg & cheese wrap,EggFood
1799,6,4,Egg & cheese wrap,EggFood
835,6,1,Egg & cheese wrap,EggFood
608,6,3,Egg & cheese wrap,EggFood
1162,6,3,Egg & cheese wrap,EggFood
220,6,4,Egg & cheese wrap,EggFood
1725,6,4,Egg & cheese wrap,EggFood
68,6,3,Egg & cheese wrap,EggFood
864,6,2,Egg & cheese wrap,EggFood
1370,6,4,Egg & cheese wrap,EggFood
722,6,4,Egg & cheese wrap,EggFood
377,6,4,Egg & cheese wrap,EggFood
353,6,3,Egg & cheese wrap,EggFood
778,6,3,Egg & cheese wrap,EggFood
1428,6,3,Egg & cheese wrap,EggFood
1452,6,2,Egg & cheese wrap,EggFood
344,6,3,Egg & cheese wrap,EggFood
1808,6,4,Egg & cheese wrap,EggFood
587,6,3,Egg & cheese wrap,EggFood
1325,6,3,Egg & cheese wrap,EggFood
1808,6,2,Egg & cheese wrap,EggFood
