,userID,itemID,rating
0,1882,6,3
1,1776,22,4
2,721,39,3
3,471,25,1
4,1211,16,4
5,798,27,4
6,1697,19,1
7,1916,17,1
8,140,25,3
9,222,47,2
10,419,9,3
11,865,3,3
12,817,42,2
13,903,47,1
14,1805,34,3
15,1003,25,1
16,316,39,4
17,1566,14,1
18,1585,27,2
19,433,21,1
20,574,38,4
21,410,48,4
22,1944,2,1
23,52,30,4
24,1510,17,3
25,1107,10,2
26,649,17,1
27,1966,6,1
28,8,48,4
29,1349,43,1
30,446,28,3
31,1569,6,3
32,486,19,1
33,82,23,3
34,396,6,2
35,1608,37,1
36,1989,12,2
37,1234,7,3
38,1065,28,2
39,1779,4,2
40,1998,25,1
41,1099,24,2
42,612,43,4
43,125,28,2
44,41,20,1
45,725,12,4
46,601,9,3
47,1593,39,4
48,98,49,3
49,1356,32,1
50,702,23,4
51,418,46,3
52,168,44,3
53,120,37,1
54,416,4,1
55,1541,15,3
56,619,5,3
57,1697,33,1
58,1683,17,4
59,313,3,3
60,52,42,2
61,536,49,2
62,591,6,1
63,1700,24,2
64,1190,27,4
65,442,39,3
66,900,16,1
67,1690,45,2
68,1877,39,4
69,1570,7,4
70,1664,20,3
71,1471,21,3
72,1053,28,3
73,1553,23,3
74,596,45,1
75,416,7,2
76,1589,7,3
77,1994,6,1
78,26,48,4
79,998,37,1
80,1533,40,4
81,1247,49,2
82,989,28,3
83,273,15,1
84,1026,41,2
85,1854,6,2
86,773,4,1
87,1866,39,2
88,889,13,3
89,1735,20,1
90,875,6,1
91,1773,47,4
92,1503,44,1
93,987,46,1
94,636,20,3
95,1657,22,4
96,1178,47,3
97,1332,48,1
98,742,41,3
99,1604,36,4
100,1762,5,1
101,185,39,4
102,1605,44,3
103,350,6,4
104,1783,44,3
105,1908,42,4
106,247,14,1
107,731,8,3
108,365,41,2
109,268,19,3
110,1545,8,2
111,511,7,2
112,1939,14,1
113,1501,31,2
114,1798,36,4
115,558,46,3
116,1068,2,4
117,1512,18,3
118,1082,8,3
119,469,13,3
120,1964,34,1
121,202,27,4
122,107,23,3
123,1326,21,4
124,295,7,2
125,846,22,1
126,1541,24,4
127,1282,35,4
128,1261,42,1
129,173,2,1
130,1594,30,4
131,1475,47,3
132,358,2,3
133,1928,39,4
134,1454,5,4
135,463,14,2
136,1585,6,3
137,545,31,3
138,1474,44,3
139,407,44,1
140,1884,1,2
141,1084,31,3
142,1427,5,1
143,173,6,2
